Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
NFLX220617C00005000,2022-06-15 12:20PM EDT,5.0,174.1,169.8,170.75,0.0,-,20.0,123,"3,228.13%"
NFLX220617C00010000,2022-06-16 11:26AM EDT,10.0,163.88,165.35,165.8,0.0,-,24.0,172,"2,125.00%"
NFLX220617C00015000,2022-06-16 11:28AM EDT,15.0,159.12,160.4,160.8,0.0,-,24.0,107,"1,875.00%"
NFLX220617C00020000,2022-06-16 11:37AM EDT,20.0,153.13,155.15,156.1,0.0,-,24.0,177,"1,696.88%"
NFLX220617C00025000,2022-06-16 1:40PM EDT,25.0,149.15,148.85,154.15,0.0,-,24.0,154,"2,099.22%"
NFLX220617C00030000,2022-06-17 10:08AM EDT,30.0,146.5,144.45,146.05,2.7,+1.88%,1.0,160,"1,706.25%"
NFLX220617C00035000,2022-06-16 1:50PM EDT,35.0,138.24,137.75,144.25,0.0,-,24.0,47,"1,533.59%"
NFLX220617C00040000,2022-06-13 12:03PM EDT,40.0,132.47,135.2,135.95,0.0,-,50.0,150,"1,081.25%"
NFLX220617C00045000,2022-06-16 1:34PM EDT,45.0,129.63,128.75,134.4,0.0,-,24.0,12,"1,488.28%"
NFLX220617C00050000,2022-02-01 10:55AM EDT,50.0,378.52,316.45,321.9,0.0,-,1.0,114,0.00%
NFLX220617C00055000,2022-06-16 1:26PM EDT,55.0,118.94,117.9,124.05,0.0,-,20.0,35,"1,107.03%"
NFLX220617C00060000,2022-06-13 12:04PM EDT,60.0,112.2,115.2,117.05,0.0,-,40.0,97,"1,077.34%"
NFLX220617C00065000,2022-06-13 12:00PM EDT,65.0,107.5,107.75,114.25,0.0,-,0.0,20,965.63%
NFLX220617C00070000,2022-05-20 1:22PM EDT,70.0,110.51,104.35,109.2,0.0,-,1.0,28,"1,069.14%"
NFLX220617C00080000,2022-06-10 9:30AM EDT,80.0,102.13,94.9,99.3,0.0,-,1.0,10,976.17%
NFLX220617C00085000,2022-05-26 1:26PM EDT,85.0,105.55,87.75,94.2,0.0,-,7.0,7,718.36%
NFLX220617C00090000,2022-06-06 9:30AM EDT,90.0,111.62,85.05,89.15,0.0,-,1.0,11,848.05%
NFLX220617C00100000,2022-06-10 12:16PM EDT,100.0,84.41,75.15,78.7,0.0,-,2.0,49,713.87%
NFLX220617C00105000,2022-06-02 9:48AM EDT,105.0,88.35,67.65,74.3,0.0,-,1.0,8,529.30%
NFLX220617C00110000,2022-06-06 9:30AM EDT,110.0,91.66,64.6,69.15,0.0,-,1.0,21,606.45%
NFLX220617C00115000,2022-05-13 10:23AM EDT,115.0,66.0,66.95,69.25,0.0,-,1.0,1,948.34%
NFLX220617C00120000,2022-06-17 10:50AM EDT,120.0,54.0,53.15,58.35,-10.26,-15.97%,2.0,65,364.84%
NFLX220617C00125000,2022-06-16 2:11PM EDT,125.0,47.63,47.65,54.2,0.0,-,3.0,29,363.09%
NFLX220617C00130000,2022-06-14 1:17PM EDT,130.0,38.17,42.75,49.25,0.0,-,1.0,14,337.89%
NFLX220617C00135000,2022-06-14 1:17PM EDT,135.0,33.22,37.85,42.95,0.0,-,1.0,18,451.86%
NFLX220617C00140000,2022-06-15 10:04AM EDT,140.0,35.54,34.2,37.6,0.0,-,1.0,97,255.27%
NFLX220617C00145000,2022-06-08 10:56AM EDT,145.0,60.13,29.3,32.2,0.0,-,15.0,35,202.34%
NFLX220617C00150000,2022-06-17 3:56PM EDT,150.0,25.77,24.85,26.5,1.25,+5.10%,6.0,162,160.94%
NFLX220617C00155000,2022-06-17 3:41PM EDT,155.0,20.06,19.9,23.1,2.06,+11.44%,8.0,257,199.80%
NFLX220617C00157500,2022-06-17 3:40PM EDT,157.5,17.56,16.85,19.25,-8.3,-32.10%,7.0,108,93.75%
NFLX220617C00160000,2022-06-17 2:26PM EDT,160.0,16.95,14.75,16.2,2.7,+18.95%,22.0,256,145.31%
NFLX220617C00162500,2022-06-16 3:21PM EDT,162.5,11.4,11.65,14.25,0.0,-,3.0,97,154.30%
NFLX220617C00165000,2022-06-17 3:47PM EDT,165.0,9.95,9.7,11.55,1.38,+16.10%,42.0,511,69.53%
NFLX220617C00167500,2022-06-17 3:04PM EDT,167.5,9.07,7.75,8.8,2.42,+36.39%,2037.0,394,67.58%
NFLX220617C00170000,2022-06-17 3:58PM EDT,170.0,5.58,5.35,6.5,0.72,+14.81%,310.0,881,58.89%
NFLX220617C00172500,2022-06-17 3:57PM EDT,172.5,3.01,2.8,3.3,-0.36,-10.68%,2241.0,700,34.77%
NFLX220617C00175000,2022-06-17 3:59PM EDT,175.0,0.74,0.66,0.87,-1.4,-65.42%,3722.0,2603,15.82%
NFLX220617C00177500,2022-06-17 3:59PM EDT,177.5,0.01,0.03,0.05,-1.18,-99.16%,7158.0,1669,15.24%
NFLX220617C00180000,2022-06-17 3:59PM EDT,180.0,0.01,0.0,0.01,-0.69,-98.57%,9262.0,4075,21.88%
NFLX220617C00182500,2022-06-17 3:58PM EDT,182.5,0.01,0.01,0.02,-0.34,-97.14%,3296.0,1705,35.16%
NFLX220617C00185000,2022-06-17 3:51PM EDT,185.0,0.02,0.0,0.02,-0.19,-90.48%,1664.0,6931,45.31%
NFLX220617C00187500,2022-06-17 3:48PM EDT,187.5,0.01,0.0,0.01,-0.12,-92.31%,384.0,1037,50.78%
NFLX220617C00190000,2022-06-17 3:41PM EDT,190.0,0.01,0.0,0.01,-0.07,-87.50%,511.0,8564,56.25%
NFLX220617C00192500,2022-06-17 3:24PM EDT,192.5,0.01,0.0,0.01,-0.05,-83.33%,233.0,843,62.50%
NFLX220617C00195000,2022-06-17 3:27PM EDT,195.0,0.01,0.0,0.01,-0.03,-75.00%,450.0,2479,71.88%
NFLX220617C00197500,2022-06-17 3:40PM EDT,197.5,0.01,0.0,0.01,-0.03,-75.00%,115.0,1117,78.13%
NFLX220617C00200000,2022-06-17 3:52PM EDT,200.0,0.01,0.0,0.01,-0.02,-66.67%,449.0,6187,87.50%
NFLX220617C00202500,2022-06-17 3:18PM EDT,202.5,0.02,0.01,0.03,-0.02,-50.00%,404.0,1445,107.81%
NFLX220617C00205000,2022-06-17 3:46PM EDT,205.0,0.02,0.0,0.02,0.0,-,99.0,3555,107.81%
NFLX220617C00207500,2022-06-17 1:08PM EDT,207.5,0.02,0.0,0.01,0.0,-,21.0,1131,109.38%
NFLX220617C00210000,2022-06-17 2:53PM EDT,210.0,0.01,0.01,0.02,-0.01,-50.00%,145.0,4323,128.13%
NFLX220617C00212500,2022-06-17 3:40PM EDT,212.5,0.02,0.0,0.01,0.0,-,41.0,597,121.88%
NFLX220617C00215000,2022-06-17 3:27PM EDT,215.0,0.01,0.0,0.01,-0.02,-66.67%,42.0,3087,131.25%
NFLX220617C00217500,2022-06-17 11:02AM EDT,217.5,0.01,0.0,0.01,-0.01,-50.00%,2.0,908,137.50%
NFLX220617C00220000,2022-06-17 3:50PM EDT,220.0,0.01,0.0,0.01,-0.01,-50.00%,59.0,5257,143.75%
NFLX220617C00222500,2022-06-17 1:52PM EDT,222.5,0.01,0.0,0.01,-0.01,-50.00%,9.0,904,150.00%
NFLX220617C00225000,2022-06-17 2:54PM EDT,225.0,0.01,0.0,0.01,0.0,-,73.0,2879,156.25%
NFLX220617C00227500,2022-06-17 2:27PM EDT,227.5,0.01,0.0,0.01,-0.01,-50.00%,20.0,254,162.50%
NFLX220617C00230000,2022-06-17 3:45PM EDT,230.0,0.03,0.0,0.01,0.01,+50.00%,10.0,3721,168.75%
NFLX220617C00232500,2022-06-16 3:49PM EDT,232.5,0.01,0.0,0.01,0.0,-,17.0,627,175.00%
NFLX220617C00235000,2022-06-17 2:39PM EDT,235.0,0.01,0.0,0.01,0.0,-,4.0,1318,181.25%
NFLX220617C00237500,2022-06-16 11:47AM EDT,237.5,0.01,0.0,0.01,0.0,-,2.0,156,187.50%
NFLX220617C00240000,2022-06-17 12:02PM EDT,240.0,0.01,0.0,0.01,0.0,-,6.0,7306,193.75%
NFLX220617C00242500,2022-06-14 3:33PM EDT,242.5,0.03,0.0,0.01,0.0,-,62.0,93,193.75%
NFLX220617C00245000,2022-06-16 2:55PM EDT,245.0,0.01,0.0,0.01,0.0,-,15.0,1295,200.00%
NFLX220617C00250000,2022-06-17 1:17PM EDT,250.0,0.01,0.0,0.01,-0.01,-50.00%,14.0,5718,212.50%
NFLX220617C00255000,2022-06-16 12:21PM EDT,255.0,0.01,0.0,0.01,0.0,-,60.0,754,225.00%
NFLX220617C00260000,2022-06-17 1:07PM EDT,260.0,0.01,0.0,0.01,0.0,-,1.0,1301,237.50%
NFLX220617C00265000,2022-06-16 9:36AM EDT,265.0,0.01,0.0,0.01,0.0,-,1.0,462,243.75%
NFLX220617C00270000,2022-06-17 12:52PM EDT,270.0,0.01,0.0,0.01,0.0,-,4.0,1907,256.25%
NFLX220617C00275000,2022-06-17 9:31AM EDT,275.0,0.01,0.0,0.01,0.0,-,30.0,699,262.50%
NFLX220617C00280000,2022-06-16 10:52AM EDT,280.0,0.01,0.0,0.01,0.0,-,3.0,751,275.00%
NFLX220617C00285000,2022-06-17 12:35PM EDT,285.0,0.01,0.0,0.01,0.0,-,1.0,435,287.50%
NFLX220617C00290000,2022-06-16 9:56AM EDT,290.0,0.01,0.0,0.01,0.0,-,5.0,616,293.75%
NFLX220617C00295000,2022-06-17 1:25PM EDT,295.0,0.01,0.0,0.01,0.0,-,2.0,614,300.00%
NFLX220617C00300000,2022-06-17 11:07AM EDT,300.0,0.01,0.0,0.01,0.0,-,1.0,6032,312.50%
NFLX220617C00305000,2022-06-17 2:15PM EDT,305.0,0.01,0.0,0.02,0.0,-,6.0,460,337.50%
NFLX220617C00310000,2022-06-17 11:05AM EDT,310.0,0.01,0.0,0.01,0.0,-,2.0,842,325.00%
NFLX220617C00315000,2022-06-10 10:12AM EDT,315.0,0.02,0.0,0.01,0.0,-,1.0,296,337.50%
NFLX220617C00320000,2022-06-17 9:50AM EDT,320.0,0.01,0.0,0.01,0.0,-,200.0,458,350.00%
NFLX220617C00325000,2022-06-17 9:50AM EDT,325.0,0.01,0.0,0.01,-0.01,-50.00%,200.0,568,350.00%
NFLX220617C00330000,2022-06-17 11:05AM EDT,330.0,0.01,0.0,0.01,-0.03,-75.00%,2.0,1107,362.50%
NFLX220617C00335000,2022-06-06 12:20PM EDT,335.0,0.01,0.0,0.01,0.0,-,248.0,485,368.75%
NFLX220617C00340000,2022-06-17 1:17PM EDT,340.0,0.01,0.0,0.01,0.0,-,5.0,303,375.00%
NFLX220617C00345000,2022-06-08 9:57AM EDT,345.0,0.02,0.0,0.01,0.0,-,3.0,278,387.50%
NFLX220617C00350000,2022-06-15 1:49PM EDT,350.0,0.01,0.0,0.01,0.0,-,1.0,2713,387.50%
NFLX220617C00355000,2022-06-09 10:28AM EDT,355.0,0.01,0.0,0.02,0.0,-,1.0,2063,418.75%
NFLX220617C00360000,2022-06-10 11:12AM EDT,360.0,0.02,0.0,0.01,0.0,-,1.0,1173,400.00%
NFLX220617C00365000,2022-05-31 2:01PM EDT,365.0,0.03,0.0,0.01,0.0,-,17.0,346,412.50%
NFLX220617C00370000,2022-06-17 1:17PM EDT,370.0,0.01,0.0,0.01,-0.04,-80.00%,5.0,631,425.00%
NFLX220617C00375000,2022-05-31 2:02PM EDT,375.0,0.01,0.0,0.01,0.0,-,1.0,552,425.00%
NFLX220617C00380000,2022-06-10 11:36AM EDT,380.0,0.02,0.0,0.01,0.0,-,3.0,1187,437.50%
NFLX220617C00385000,2022-06-13 11:46AM EDT,385.0,0.01,0.0,0.01,0.0,-,1.0,468,437.50%
NFLX220617C00390000,2022-06-09 12:38PM EDT,390.0,0.01,0.0,0.01,0.0,-,1.0,6137,450.00%
NFLX220617C00395000,2022-05-25 2:40PM EDT,395.0,0.03,0.0,0.01,0.0,-,22.0,554,450.00%
NFLX220617C00400000,2022-06-17 11:22AM EDT,400.0,0.01,0.0,0.01,0.0,-,1.0,4483,462.50%
NFLX220617C00405000,2022-05-24 10:36AM EDT,405.0,0.03,0.0,0.01,0.0,-,20.0,159,462.50%
NFLX220617C00410000,2022-06-06 9:32AM EDT,410.0,0.04,0.0,0.01,0.0,-,1.0,1099,475.00%
NFLX220617C00415000,2022-06-15 12:31PM EDT,415.0,0.01,0.0,0.01,0.0,-,5.0,235,475.00%
NFLX220617C00420000,2022-06-06 2:34PM EDT,420.0,0.01,0.0,0.01,0.0,-,5.0,1818,487.50%
NFLX220617C00425000,2022-05-20 2:57PM EDT,425.0,0.05,0.0,0.01,0.0,-,3.0,408,487.50%
NFLX220617C00430000,2022-06-13 9:57AM EDT,430.0,0.03,0.0,0.01,0.0,-,1.0,1191,500.00%
NFLX220617C00435000,2022-06-08 1:18PM EDT,435.0,0.03,0.0,0.02,0.0,-,1.0,453,525.00%
NFLX220617C00440000,2022-06-08 1:18PM EDT,440.0,0.01,0.0,0.01,0.0,-,1.0,1171,500.00%
NFLX220617C00445000,2022-06-07 10:09AM EDT,445.0,0.01,0.0,0.01,0.0,-,20.0,1046,512.50%
NFLX220617C00450000,2022-06-17 11:22AM EDT,450.0,0.01,0.0,0.01,-0.03,-75.00%,6.0,2047,525.00%
NFLX220617C00455000,2022-05-20 10:39AM EDT,455.0,0.04,0.0,0.01,0.0,-,1.0,629,525.00%
NFLX220617C00460000,2022-06-01 3:26PM EDT,460.0,0.01,0.0,0.01,0.0,-,1.0,956,525.00%
NFLX220617C00465000,2022-06-01 3:39PM EDT,465.0,0.04,0.0,0.02,0.0,-,1.0,615,562.50%
NFLX220617C00470000,2022-06-08 2:02PM EDT,470.0,0.01,0.0,0.01,0.0,-,2.0,1759,537.50%
NFLX220617C00475000,2022-06-16 9:36AM EDT,475.0,0.01,0.0,0.01,0.0,-,10.0,2464,550.00%
NFLX220617C00480000,2022-05-20 11:53AM EDT,480.0,0.03,0.0,0.01,0.0,-,5.0,803,550.00%
NFLX220617C00485000,2022-05-26 3:36PM EDT,485.0,0.02,0.0,0.01,0.0,-,4.0,823,550.00%
NFLX220617C00490000,2022-06-01 12:43PM EDT,490.0,0.04,0.0,0.01,0.0,-,1.0,1062,562.50%
NFLX220617C00495000,2022-05-16 12:42PM EDT,495.0,0.03,0.0,0.01,0.0,-,5.0,240,562.50%
NFLX220617C00500000,2022-06-16 9:36AM EDT,500.0,0.01,0.0,0.01,0.0,-,10.0,8653,575.00%
NFLX220617C00505000,2022-06-17 11:17AM EDT,505.0,0.01,0.0,0.01,0.0,-,1.0,529,575.00%
NFLX220617C00510000,2022-06-07 3:25PM EDT,510.0,0.01,0.0,0.01,0.0,-,1.0,193,575.00%
NFLX220617C00515000,2022-05-10 11:46AM EDT,515.0,0.04,0.0,0.01,0.0,-,15.0,217,587.50%
NFLX220617C00520000,2022-06-15 1:52PM EDT,520.0,0.01,0.0,0.01,0.0,-,1.0,2322,587.50%
NFLX220617C00525000,2022-05-25 11:33AM EDT,525.0,0.05,0.0,0.01,0.0,-,1.0,535,600.00%
NFLX220617C00530000,2022-06-16 3:40PM EDT,530.0,0.01,0.0,0.01,0.0,-,1.0,714,600.00%
NFLX220617C00535000,2022-05-09 12:52PM EDT,535.0,0.03,0.0,0.1,0.0,-,1.0,0,718.75%
NFLX220617C00540000,2022-06-16 12:11PM EDT,540.0,0.01,0.0,0.01,0.0,-,3.0,1184,600.00%
NFLX220617C00545000,2022-05-12 1:40PM EDT,545.0,0.01,0.0,0.05,0.0,-,1.0,228,687.50%
NFLX220617C00550000,2022-05-31 2:18PM EDT,550.0,0.01,0.0,0.01,0.0,-,10.0,1195,612.50%
NFLX220617C00555000,2022-04-21 3:57PM EDT,555.0,0.06,0.01,0.09,0.0,-,3.0,146,740.63%
NFLX220617C00560000,2022-06-17 2:02PM EDT,560.0,0.01,0.0,0.01,-0.01,-50.00%,10.0,569,625.00%
NFLX220617C00565000,2022-04-19 3:47PM EDT,565.0,0.54,0.0,0.08,0.0,-,4.0,139,734.38%
NFLX220617C00570000,2022-05-20 12:31PM EDT,570.0,0.01,0.0,0.01,0.0,-,1.0,1007,637.50%
NFLX220617C00575000,2022-05-09 9:30AM EDT,575.0,0.01,0.0,0.0,0.0,-,1.0,0,50.00%
NFLX220617C00580000,2022-05-26 12:51PM EDT,580.0,0.01,0.0,0.01,0.0,-,2.0,596,650.00%
NFLX220617C00585000,2022-06-16 3:40PM EDT,585.0,0.03,0.01,0.02,0.0,-,1.0,606,700.00%
NFLX220617C00590000,2022-06-02 2:16PM EDT,590.0,0.01,0.0,0.01,0.0,-,2.0,432,650.00%
NFLX220617C00595000,2022-06-13 11:19AM EDT,595.0,0.01,0.01,0.01,0.0,-,20.0,273,687.50%
NFLX220617C00600000,2022-06-14 10:22AM EDT,600.0,0.01,0.0,0.01,0.0,-,10.0,4973,650.00%
NFLX220617C00605000,2022-05-25 9:53AM EDT,605.0,0.03,0.0,0.01,0.0,-,1.0,269,662.50%
NFLX220617C00610000,2022-05-09 10:14AM EDT,610.0,0.03,0.0,0.04,0.0,-,2.0,745,737.50%
NFLX220617C00615000,2022-05-27 1:14PM EDT,615.0,0.01,0.0,0.01,0.0,-,2.0,202,675.00%
NFLX220617C00620000,2022-06-17 10:56AM EDT,620.0,0.03,0.0,0.01,0.02,+200.00%,5.0,928,675.00%
NFLX220617C00625000,2022-06-15 12:04PM EDT,625.0,0.01,0.0,0.01,0.0,-,2.0,1901,675.00%
NFLX220617C00630000,2022-05-27 10:24AM EDT,630.0,0.04,0.0,0.01,0.0,-,1.0,1400,675.00%
NFLX220617C00635000,2022-04-29 1:36PM EDT,635.0,0.02,0.0,0.22,0.0,-,1.0,95,875.00%
NFLX220617C00640000,2022-06-15 1:29PM EDT,640.0,0.01,0.0,0.02,0.0,-,1.0,1624,725.00%
NFLX220617C00645000,2022-03-30 11:37AM EDT,645.0,0.32,0.0,0.13,0.0,-,41.0,99,840.63%
NFLX220617C00650000,2022-06-15 1:29PM EDT,650.0,0.01,0.0,0.01,0.0,-,1.0,2547,700.00%
NFLX220617C00655000,2022-05-09 12:21PM EDT,655.0,0.03,0.0,0.01,0.0,-,2.0,281,700.00%
NFLX220617C00660000,2022-05-16 12:10PM EDT,660.0,0.02,0.0,0.01,0.0,-,2.0,543,700.00%
NFLX220617C00665000,2022-05-09 11:42AM EDT,665.0,0.02,0.0,0.01,0.0,-,101.0,1322,700.00%
NFLX220617C00670000,2022-05-27 1:13PM EDT,670.0,0.01,0.0,0.02,0.0,-,3.0,428,750.00%
NFLX220617C00675000,2022-05-09 9:42AM EDT,675.0,0.02,0.0,0.0,0.0,-,1.0,769,50.00%
NFLX220617C00680000,2022-05-09 10:09AM EDT,680.0,0.02,0.0,0.1,0.0,-,1.0,0,850.00%
NFLX220617C00685000,2022-05-13 1:27PM EDT,685.0,0.01,0.0,0.01,0.0,-,1.0,180,725.00%
NFLX220617C00690000,2022-05-03 9:42AM EDT,690.0,0.02,0.0,0.13,0.0,-,30.0,229,878.13%
NFLX220617C00695000,2022-05-02 12:15PM EDT,695.0,0.02,0.0,0.02,0.0,-,7.0,323,762.50%
NFLX220617C00700000,2022-06-01 9:43AM EDT,700.0,0.02,0.0,0.01,0.0,-,2.0,2356,725.00%
NFLX220617C00705000,2022-05-06 11:03AM EDT,705.0,0.02,0.0,0.01,0.0,-,6.0,135,737.50%
NFLX220617C00710000,2022-05-13 1:24PM EDT,710.0,0.02,0.0,0.01,0.0,-,2.0,192,737.50%
NFLX220617C00715000,2022-04-27 3:50PM EDT,715.0,0.04,0.0,0.01,0.0,-,1.0,67,750.00%
NFLX220617C00720000,2022-06-07 10:10AM EDT,720.0,0.01,0.0,0.01,0.0,-,2.0,558,750.00%
NFLX220617C00725000,2022-04-20 12:10PM EDT,725.0,0.06,0.0,0.08,0.0,-,25.0,169,868.75%
NFLX220617C00730000,2022-06-07 10:09AM EDT,730.0,0.01,0.0,0.01,0.0,-,1.0,825,750.00%
NFLX220617C00740000,2022-04-29 10:16AM EDT,740.0,0.02,0.0,0.01,0.0,-,1.0,827,750.00%
NFLX220617C00750000,2022-06-14 10:21AM EDT,750.0,0.01,0.0,0.01,0.0,-,3.0,588,762.50%
NFLX220617C00760000,2022-06-07 10:08AM EDT,760.0,0.01,0.0,0.02,0.0,-,1.0,435,812.50%
NFLX220617C00770000,2022-06-07 10:07AM EDT,770.0,0.01,0.0,0.01,0.0,-,2.0,185,775.00%
NFLX220617C00780000,2022-06-09 12:16PM EDT,780.0,0.01,0.0,0.01,0.0,-,1.0,669,775.00%
NFLX220617C00790000,2022-06-07 10:04AM EDT,790.0,0.01,0.0,0.02,0.0,-,1.0,347,825.00%
NFLX220617C00800000,2022-06-16 1:09PM EDT,800.0,0.01,0.0,0.01,0.0,-,2.0,950,787.50%
NFLX220617C00810000,2022-05-13 1:26PM EDT,810.0,0.02,0.0,0.01,0.0,-,1.0,421,800.00%
NFLX220617C00820000,2022-05-13 1:26PM EDT,820.0,0.02,0.0,0.01,0.0,-,5.0,335,800.00%
NFLX220617C00830000,2022-05-13 1:27PM EDT,830.0,0.02,0.0,0.01,0.0,-,4.0,527,812.50%
NFLX220617C00840000,2022-06-07 10:01AM EDT,840.0,0.01,0.0,0.01,0.0,-,1.0,137,825.00%
NFLX220617C00850000,2022-05-13 1:27PM EDT,850.0,0.02,0.0,0.01,0.0,-,15.0,2348,825.00%
NFLX220617C00860000,2022-05-18 1:48PM EDT,860.0,0.02,0.0,0.01,0.0,-,15.0,406,825.00%
NFLX220617C00880000,2022-02-16 10:30AM EDT,880.0,0.25,0.0,0.15,0.0,-,3.0,157,"1,021.88%"
NFLX220617C00900000,2022-05-13 1:25PM EDT,900.0,0.01,0.0,0.01,0.0,-,10.0,1593,850.00%
NFLX220617C00920000,2022-05-13 1:27PM EDT,920.0,0.02,0.0,0.01,0.0,-,3.0,160,850.00%
NFLX220617C00940000,2022-05-13 1:27PM EDT,940.0,0.02,0.0,0.01,0.0,-,1.0,111,875.00%
NFLX220617C00950000,2022-05-13 1:27PM EDT,950.0,0.02,0.0,0.01,0.0,-,3.0,3313,875.00%
NFLX220617C00960000,2022-04-20 3:26PM EDT,960.0,0.01,0.0,0.02,0.0,-,1.0,18,925.00%
NFLX220617C00980000,2022-01-31 12:47PM EDT,980.0,0.12,0.0,0.24,0.0,-,1.0,74,"1,126.56%"
NFLX220617C01000000,2022-05-13 1:27PM EDT,1000.0,0.02,0.0,0.01,0.0,-,1.0,746,900.00%
NFLX220617C01020000,2022-05-13 1:28PM EDT,1020.0,0.02,0.0,0.01,0.0,-,2.0,24,900.00%
NFLX220617C01050000,2022-05-18 3:44PM EDT,1050.0,0.02,0.0,0.01,0.0,-,20.0,742,925.00%
